"entidad","nom_abr","cve_ent","municipio","cve_mun"
"Durango","Dgo.",10,"Ocampo","10_17"
"Durango","Dgo.",10,"El Oro","10_18"
"Durango","Dgo.",10,"Otáez","10_19"
"Durango","Dgo.",10,"Pánuco de Coronado","10_20"
"Durango","Dgo.",10,"Peñón Blanco","10_21"
"Durango","Dgo.",10,"Poanas","10_22"
"Durango","Dgo.",10,"Pueblo Nuevo","10_23"
"Durango","Dgo.",10,"Rodeo","10_24"
"Durango","Dgo.",10,"San Bernardo","10_25"
"Durango","Dgo.",10,"San Dimas","10_26"
"Durango","Dgo.",10,"San Juan de Guadalupe","10_27"
"Durango","Dgo.",10,"San Juan del Río","10_28"
"Durango","Dgo.",10,"San Luis del Cordero","10_29"
"Durango","Dgo.",10,"San Pedro del Gallo","10_30"
"Durango","Dgo.",10,"Santa Clara","10_31"
"Durango","Dgo.",10,"Santiago Papasquiaro","10_32"
"Durango","Dgo.",10,"Súchil","10_33"
"Durango","Dgo.",10,"Tamazula","10_34"
"Durango","Dgo.",10,"Tepehuanes","10_35"
"Durango","Dgo.",10,"Tlahualilo","10_36"
"Durango","Dgo.",10,"Topia","10_37"
"Durango","Dgo.",10,"Vicente Guerrero","10_38"
"Durango","Dgo.",10,"Nuevo Ideal","10_39"
"Guanajuato","Gto.",11,"Abasolo","11_1"
"Guanajuato","Gto.",11,"Acámbaro","11_2"
"Guanajuato","Gto.",11,"San Miguel de Allende","11_3"
"Guanajuato","Gto.",11,"Apaseo el Alto","11_4"
"Guanajuato","Gto.",11,"Apaseo el Grande","11_5"
"Guanajuato","Gto.",11,"Atarjea","11_6"
"Guanajuato","Gto.",11,"Celaya","11_7"
"Guanajuato","Gto.",11,"Manuel Doblado","11_8"
"Guanajuato","Gto.",11,"Comonfort","11_9"
"Guanajuato","Gto.",11,"Coroneo","11_10"
"Guanajuato","Gto.",11,"Cortazar","11_11"
"Guanajuato","Gto.",11,"Cuerámaro","11_12"
"Guanajuato","Gto.",11,"Doctor Mora","11_13"
"Guanajuato","Gto.",11,"Dolores Hidalgo Cuna de la Independencia Nacional","11_14"
"Guanajuato","Gto.",11,"Guanajuato","11_15"
"Guanajuato","Gto.",11,"Huanímaro","11_16"
"Guanajuato","Gto.",11,"Irapuato","11_17"
"Guanajuato","Gto.",11,"Jaral del Progreso","11_18"
"Guanajuato","Gto.",11,"Jerécuaro","11_19"
"Guanajuato","Gto.",11,"León","11_20"
"Guanajuato","Gto.",11,"Moroleón","11_21"
"Guanajuato","Gto.",11,"Ocampo","11_22"
"Guanajuato","Gto.",11,"Pénjamo","11_23"
"Guanajuato","Gto.",11,"Pueblo Nuevo","11_24"
"Guanajuato","Gto.",11,"Purísima del Rincón","11_25"
"Guanajuato","Gto.",11,"Romita","11_26"
"Guanajuato","Gto.",11,"Salamanca","11_27"
"Guanajuato","Gto.",11,"Salvatierra","11_28"
"Guanajuato","Gto.",11,"San Diego de la Unión","11_29"
"Guanajuato","Gto.",11,"San Felipe","11_30"
"Guanajuato","Gto.",11,"San Francisco del Rincón","11_31"
"Guanajuato","Gto.",11,"San José Iturbide","11_32"
"Guanajuato","Gto.",11,"San Luis de la Paz","11_33"
"Guanajuato","Gto.",11,"Santa Catarina","11_34"
"Guanajuato","Gto.",11,"Santa Cruz de Juventino Rosas","11_35"
"Guanajuato","Gto.",11,"Santiago Maravatío","11_36"
"Guanajuato","Gto.",11,"Silao de la Victoria","11_37"
"Guanajuato","Gto.",11,"Tarandacuao","11_38"
"Guanajuato","Gto.",11,"Tarimoro","11_39"
"Guanajuato","Gto.",11,"Tierra Blanca","11_40"
"Guanajuato","Gto.",11,"Uriangato","11_41"
"Guanajuato","Gto.",11,"Valle de Santiago","11_42"
"Guanajuato","Gto.",11,"Victoria","11_43"
"Guanajuato","Gto.",11,"Villagrán","11_44"
"Guanajuato","Gto.",11,"Xichú","11_45"
"Guanajuato","Gto.",11,"Yuriria","11_46"
"Guerrero","Gro.",12,"Acapulco de Juárez","12_1"
"Guerrero","Gro.",12,"Ahuacuotzingo","12_2"
"Guerrero","Gro.",12,"Ajuchitlán del Progreso","12_3"
"Guerrero","Gro.",12,"Alcozauca de Guerrero","12_4"
"Guerrero","Gro.",12,"Alpoyeca","12_5"
"Guerrero","Gro.",12,"Apaxtla","12_6"
"Guerrero","Gro.",12,"Arcelia","12_7"
"Guerrero","Gro.",12,"Atenango del Río","12_8"
